호선,역명,장비종류,호기,승강기번호,운행구간,설치위치
1,대피3,EL,검단본선1,2282-590,지상층↔지하4층,"(1F) 환기탑, (B1) 본선환기실 , (B2) 본선환기실, (B3) 본선환기실, (B4)선로피난층"
1,대피4,EL,검단본선2,2282-591,지상층↔지하3층,"(1F) 환기탑, (B1) 전기실, (B2) 전기실2, (B2) 집수정"
1,계양역,EL,1,2028-980,지상1층↔지상2층,"(2F) 종착역 승강장 4-2 출입문 앞,(1F) 에스컬레이터 1호기/2호기 사이"
1,계양역,EL,2,2028-979,지상1층↔지상2층,"(2F) 귤현역 방향 승강장 5-3 출입문 앞,(1F) 에스컬레이터 3호기/4호기 사이"
1,귤현역,EL,1,2059-423,대합실↔승강장,"(2F) 표 내는 곳 옆,(1F) 계양역 방향 승강장 5-4 출입문 앞"
1,귤현역,EL,2,2059-424,승강장↔외부,"(2F) 표 내는 곳 옆,(1F) 박촌역 방향 승강장 4-1 출입문 앞,(M1) 1번 출입구 옆"
1,박촌역,EL,1,2059-425,지상층↔대합실,"(1F) 2번 출입구 옆,(B1) 2번/3번 출입구 방향"
1,박촌역,EL,2,2059-426,대합실↔승강장,"(B1) 표 내는 곳 옆,(B2) 귤현역 방향 승강장 9-4 출입문 앞"
1,박촌역,EL,3,2059-427,대합실↔승강장,"(B1) 표 내는 곳 옆,(B2) 임학역 방향 승강장 0-1 출입문 앞"
1,임학역,EL,1,2094-340,승강장↔지상,"(1F) 1번 출입구 옆,(B1) 발매기실 옆,(B2) 박촌역 방향 승강장 6-3 출입문 앞"
1,임학역,EL,2,2028-982,지하1층↔지하2층,"(B1) 3번/4번 출입구 방향,(B2) 계산역 방향 승강장 3-2 출입문 앞"
1,계산역,EL,1,2028-983,지하1층↔지하3층,"(B1) 물탱크실 옆,(B2) 화장실 옆,(B3) 임학역 방향 승강장 2-4 출입문 앞"
1,계산역,EL,2,2028-984,지하1층↔지하3층,"(B1) 물탱크실 옆,(B2) 화장실 맞은편,(B3) 경인교대입구역 방향 승강장 7-1 출입문 앞"
1,계산역,EL,3,2059-428,지상층↔대합실,"(1F) 6번 출입구 옆,(B1) 5번/6번 출입구 방향"
1,경인교대입구역,EL,1,2029-001,지하1층↔지하3층,"(B1) 전기실 옆,(B2) 고객안내센터 옆,(B3) 계산역 방향 승강장 7-1 출입문 앞"
1,경인교대입구역,EL,2,2029-002,지하1층↔지하3층,"(B1) 전기실 옆,(B2) 고객안내센터 옆,(B3) 작전역 방향 승강장 2-4 출입문 앞"
1,경인교대입구역,EL,3,2059-395,지상층↔대합실,"(1F) 6번 출입구 옆,(B1) 6번 출입구 방향"
1,작전역,EL,1,2059-396,지상층↔지하1층,"(1F) 2번, 3번 출입구 사이,(B1) 고객안내센터 맞은편"
1,작전역,EL,2,2059-397,대합실↔승강장,"(B1) 표 내는 곳 앞,(B2) 승강장 중앙 건축창고, 토목창고 사이"
1,갈산역,EL,1,2029-003,지하1층↔지하2층,"(B1) 고객안내센터 옆,(B2) 작전역 방향 승강장 7-2 출입문 앞"
1,갈산역,EL,2,2029-004,지하1층↔지하2층,"(B1) 고객안내센터 맞은편,(B2) 부평구청역 방향 승강장 2-3 출입문 앞"
1,부평구청역,EL,1,2029-018,지하1층↔지하2층,"(B1) 고객안내센터 옆,(B2) 갈산역 방향 승강장 7-3 출입문 앞"
1,부평구청역,EL,2,2029-019,지하1층↔지하2층,"(B1) 고객안내센터 맞은편,(B2) 부평시장역 방향 승강장 2-3 출입문 앞"
1,부평시장역,EL,1,2029-016,지하1층↔지하2층,"(B1) 2번 출입구 방향,(B2) 부평구청역 방향 승강장 6-4 출입문 앞"
1,부평시장역,EL,2,2029-017,지하1층↔지하2층,"(B1) 3번 출입구 방향,(B2) 부평역 방향 승강장 3-1 출입문 앞"
1,부평시장역,EL,3,2059-398,지상층↔대합실,"(1F) 1번 출입구 옆,(B1) 1번 출입구 방향"
1,부평시장역,EL,4,2187-743 ,대합실↔외부,"(1F) 3번 출입구 옆,(B1) 3번 출입구 방향"
1,부평역,EL,1,2029-101,지하1층↔지하4층,"(B1) 화장실 옆,(B2) 고객안내센터 옆,(B4) 부평시장역 방향 승강장 2-4 출입문 앞"
1,부평역,EL,2,2029-102,지상층↔지하4층,"(1F) 4번 출입구 앞,(B1) 임대상가 앞,(B2) 고객안내센터 옆,(B4) 동수역 방향 승강장 7-1 출입문 앞"
1,부평역,EL,3,2158-729,승강장↔대합실,"(1F) 부개역(코레일) 방향 승강장 앞,(B1) 북부광장 방향 대합실"
1,동수역,EL,1,2029-160,지하1층↔지하4층,"(B1) 화장실 옆,(B4) 부평역 방향 승강장 2-4 출입문 앞"
1,동수역,EL,2,2029-161,지하1층↔지하4층,"(B1) 고객안내센터 옆,(B4) 부평삼거리역 방향 승강장 7-1 출입문 앞"
1,동수역,EL,3,2059-290,지상층↔대합실,"(1F) 2번 출입구 앞,(B1) 고객안내센터 맞은편"
1,부평삼거리역,EL,1,2029-162,지하1층↔지하4층,"(B1) 고객안내센터 맞은편,(B2) 대합실,(B3) 대합실,(B4) 동수역 방향 승강장 7-2 출입문 앞"
1,부평삼거리역,EL,2,2029-163,지하1층↔지하4층,"(B1) 고객안내센터 옆,(B2) 대합실,(B3) 대합실,(B4) 간석오거리역 방향 승강장 2-2 출입문 앞"
1,부평삼거리역,EL,3,2059-291,지상층↔대합실,"(1F) 2번 출입구 앞,(B1) 고객안내센터 맞은편"
1,간석오거리역,EL,1,2145-975,승강장↔지하1층,"(B1) 고객안내센터 옆,(B2) 기능실 복도 옆,(B3) 대합실,(B4) 부평삼거리역 방향 승강장 4-2 출입문 앞"
1,간석오거리역,EL,2,2029-138,지하1층↔지하4층,"(B1) 고객안내센터 맞은편,(B2) 기능실 복도 옆,(B3) 대합실,(B4) 인천시청 방향 승강장 5-2 출입문 앞"
1,간석오거리역,EL,3,2029-020,지상층↔지하1층,"(1F) 5번 출입구 앞,(B1) 5번 출입구 방향 대합실"
1,인천시청역,EL,1,2029-164,지상층↔지하4층,"(B1) 고객안내센터 옆,(B2) 간석오거리역 방향 승강장 2-3 출입구 앞"
1,인천시청역,EL,2,2029-165,승강장↔대합실,"(1F) 9번 출입구 근처,(B1) 임대상가 옆,(B2) 예술회관역 방향 승강장 7-2 출입문 앞"
1,예술회관역,EL,1,2036-306,지상층↔지하3층,"(B1) 기능실 복도 앞,(B2) 기능실 복도 앞,(B3) 인천시청역 방향 승강장 2-4 출입문 앞"
1,예술회관역,EL,2,2036-307,지하1층↔지하3층,"(1F) 8번 출입구 방향,(B1) 기능실 복도 옆,(B2) 화장실 앞,(B3) 인천터미널역 방향 승강장 7-1 출입문 앞"
1,인천터미널역,EL,1,2145-978,지상층↔지하2층,"(1F) 4번 출입구 옆,(B1) 대합실 백화점 방향,(B2) 예술회관역 방향 승강장 5-1 출입문 앞"
1,인천터미널역,EL,2,2036-309,지하1층↔지하2층,"(B1) 6번 출입구 방향,(B2) 문학경기장역 방향 승강장 4-4 출입문 앞"
1,문학경기장역,EL,1,2036-118,지하1층↔지하3층,"(B1) 대합실,(B2) 인천터미널역 방향 승강장 1-3 출입문 앞"
1,문학경기장역,EL,2,2036-117,지하1층↔지하3층,"(B1) 대합실,(B2) 선학역 방향 승강장 8-1 출입문 앞"
1,문학경기장역,EL,3,2036-119,지상층↔지하1층,"(1F) 2번 출입구 앞,(B1) 고객안내센터 옆 대합실"
1,선학역,EL,1,2036-087,지하1층↔지하2층,"(B1) 대합실 표 내는 곳 앞,(B2) 문학경기장역 방향 승강장 5-4 출입문 앞"
1,선학역,EL,2,2036-088,지하1층↔지하2층,"(B1) 대합실 표 내는 곳 앞,(B2) 신연수역 방향 승강장 4-1 출입문 앞"
1,선학역,EL,3,2059-292,지상층↔대합실,"(1F) 3번 출입구 앞,(B1) 대합실 화장실 옆"
1,신연수역,EL,1,2059-293,지상층↔지하1층,"(1F) 1번 출입구 앞,(B1) 화장실 옆"
1,신연수역,EL,2,2059-294,지하1층↔지하2층,"(B1) 고객안내센터 앞,(B2) 원인재역 방향 승강장 4-3 출입문 앞"
1,신연수역,EL,3,2162-753,지상층↔대합실,"(1F) 4번 출입구 앞,(B1) 대합실 표 내는 곳 앞"
1,원인재역,EL,1,2036-083,지하1층↔지하2층,"(B2) 신연수역 방향 승강장 3-4 열차 출입문 앞,(B1) 신연수역 방향 열차 승강장 방향"
1,원인재역,EL,2,2036-084,지하1층↔지하2층,"(B2) 동춘역 방향 승강장 6-1 열차 출입문 앞,(B1) 동춘역 방향 열차 승강장 방향"
1,원인재역,EL,3,2059-280,지상층↔대합실,"(B1) 1번/6번 출입구 방향,(1F) 6번 출입구 뒤"
1,동춘역,EL,1,2036-085,지상층↔지하2층,"(B2) 원인재역 방향 승강장 6-4 열차 출입문 앞,(B1) 원인재역 방향 열차 승강장 방향"
1,동춘역,EL,2,2036-086,지하1층↔지하2층,"(B2) 동막역 방향 승강장 3-1 열차 출입문 앞,(B1) 해당 역 대합실,(1F) 3번 출입구 뒤"
1,동막역,EL,1,2059-282,지상층↔대합실,"(B1) 3번/4번 출입구 방향,(1F) 4번 출입구 뒤"
1,동막역,EL,2,2059-281,지상층↔대합실,"(B1) 1번/2번 출입구 방향,(1F) 1번 출입구 뒤"
1,동막역,EL,3,2140-538,대합실↔승강장,"(B2) 테크노파크역 방향 승강장 5-1 열차 출입문 앞,(B1) 테크노파크역 방향 열차 승강장 방향"
1,캠퍼스타운역,EL,1,2059-457,지하1층↔지하2층,"(B2) 동막역 방향 승강장 4-4 열차 출입문 앞,(B1) 동막역 방향 열차 승강장 방향"
1,캠퍼스타운역,EL,2,2059-458,지하1층↔지하2층,"(B2) 캠퍼스타운역 방향 승강장 4-4,동춘역 방향 5-1 열차 출입문 앞,(B1) 대합실 표 내는 곳 안 쪽"
1,캠퍼스타운역,EL,3,2059-459,지상층↔지하1층,"(B1) 1번 출입구 방향,(1F) 1번 출입구 뒤"
1,캠퍼스타운역,EL,4,2059-460,지상층↔지하1층,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤"
1,캠퍼스타운역,EL,5,2059-461,지상층↔지하1층,"(B1) 3,4번 출입구 방향,(1F) 3번 출입구 뒤"
1,테크노파크역,EL,1,2059-276,지하1층↔지하2층,"(B2) 캠퍼스타운역 방향 승강장 5-1 열차 출입문 앞,(B1) 캠퍼스타운역 방향 열차 승강장 방향"
1,테크노파크역,EL,2,2059-277,지하1층↔지하2층,"(B2) 지식정보단지역 방향 승강장 5-1 열차 출입문 앞,(B1) 지식정보단지역 방향 열차 승강장 방향"
1,테크노파크역,EL,3,2059-278,지상층↔지하1층,"(B1) 3번 출입구 방향,(1F) 3번 출입구 뒤"
1,테크노파크역,EL,4,2059-279,지상층↔지하1층,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤"
1,지식정보단지역,EL,1,2059-391,지하1층↔지하2층,"(B2) 테크노파크역 방향 승강장 4-4 열차 출입문 앞,(B1) 테크노파크역 방향 열차 승강장 방향"
1,지식정보단지역,EL,2,2059-392,지하1층↔지하2층,"(B2) 센트럴파크역 방향 승강장 5-1 열차 출입문 앞,(B1) 센트럴파크역 방향 열차 승강장 방향"
1,지식정보단지역,EL,3,2059-390,지상층↔지하1층,"(B1) 1,2번 출입구 방향,(1F) 2번 출입구 뒤"
1,지식정보단지역,EL,4,2059-393,지상층↔지하1층,"(B1) 3번 출입구 방향,(1F) 상가건물 앞 "
1,인천대입구역,EL,1,2059-350,지하1층↔지하2층,"(B2) 지식정보단지역 방향 승강장 5-4 열차 출입문 앞,(B1) 지식정보단지역 방향 열차 승강장 방향"
1,인천대입구역,EL,2,2059-351,지하1층↔지하2층,"(B2) 센트럴파크역 방향 승강장 4-1 열차 출입문 앞,(B1) 센트럴파크역 방향 열차 승강장 방향"
1,인천대입구역,EL,3,2059-352,지상층↔지하1층,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤"
1,센트럴파크역,EL,1,2059-414,지하1층↔지하2층,"(B2) 인천대입구역 방향 승강장 5-1 열차 출입문 앞,(B1) 인천대입구역 방향 열차 승강장 방향"
1,센트럴파크역,EL,2,2059-415,지하1층↔지하2층,"(B2) 국제업무지구역 방향 승강장 4-4 열차 출입문 앞,(B1) 국제업무지구역 방향 열차 승강장 방향"
1,센트럴파크역,EL,3,2059-416,지상층↔지하1층,"(B1) 3번 출입구 방향,(1F) 3번 출입구 뒤"
1,국제업무지구역,EL,1,2059-346,지하1층↔지하2층,"(B2) 센트럴파크역 방향 승강장 6-2 열차 출입문 앞,(B1) 센트럴파크역 방향 열차 승강장 방향"
1,국제업무지구역,EL,2,2059-347,지하1층↔지하2층,"(B2) 송도달빛축제공원역 방향 승강장 3-3 열차 출입문 앞,(B1) 송도달빛축제공원역 방향 열차 승강장 방향"
1,국제업무지구역,EL,3,2059-348,지상층↔지하1층,"(B1) 1번, 2번 출입구 방향,(1F) 2번 출입구 뒤"
1,국제업무지구역,EL,4,2059-349,지상층↔지하1층,"(B1) 5번 출입구 방향,(1F) 5번 출입구 뒤"
1,국제업무지구역,EL,5,2282-155,지상층↔지하1층,3번출구 힐스테이트송도더스카이 연결통로
1,송도달빛축제공원역,EL,1,2236-554,대합실↔승강장,"(B2) 국제업무지구역 방향 승강장 5-1 열차 출입문 앞,(B1) 국제업무지구역 방향 열차 승강장 방향"
1,송도달빛축제공원역,EL,2,2236-555,대합실↔승강장,"(B2) 승강장 5-1 열차 출입문 앞,(B1)  열차 승강장 방향"
1,송도달빛축제공원역,EL,3,2236-556,대합실↔외부,"(B1) 1번 출입구 방향,(1F) 1번 출입구 뒤"
1,송도달빛축제공원역,EL,4,2236-560,대합실↔외부,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤"
2,검단오류역,EL,1,2170-578,지상1층↔지상2층,"(1F) 2번 출입구 옆,(2F) 1번 출입구 계단 옆"
2,검단오류역,EL,2,2170-579,지상2층↔지상3층,"(2F) 검단오류역 방향 승강장 계단 옆,(3F) 검단오류역 방향 승강장 출입문 중앙부 앞"
2,검단오류역,EL,3,2170-580,지상2층↔지상3층,"(2F) 왕길역 방향 승강장 계단 옆,(3F) 왕길역 방향 승강장 출입문 중앙부 앞"
2,왕길,EL,1,2170-583,지상1층↔지상2층,"(1F) 1번 출입구 옆,(2F) 화장실 옆"
2,왕길,EL,2,2170-581,지상2층↔지상3층,"(2F) 검단오류역 방향 승강장 계단 옆,(3F) 검단오류역 방향 승강장 출입문 중앙부 앞"
2,왕길,EL,3,2170-582,지상2층↔지상3층,"(2F) 검단사거리역 방향 승강장 계단 옆,(3F) 검단사거리역 방향 승강장 출입문 중앙부 앞"
2,검단사거리역,EL,1,2170-627,지하1층↔지하2층,"(B2) 고객안내센터 옆,(B3) 왕길역 방향 승강장 출입문 2-3 옆"
2,검단사거리역,EL,2,2170-628,지하1층↔지하2층,"(B2) 표 내는 곳 옆,(B3) 마전역 방향 승강장 출입문 1-1 옆"
2,검단사거리역,EL,3,2170-626,지상층↔지하1층,"(1F) 1번 출입구 근처,(B1) 화장실 옆"
2,마전역,EL,1,2170-625,지하1층↔지하3층,"(B1) 고객안내센터 옆,(B3) 검단사거리역 방향 승강장 출입문 1-1 옆"
2,마전역,EL,2,2170-624,지하1층↔지하3층,"(B1) 표 내는 곳 옆,(B3) 완정역 방향 승강장 출입문 2-3 옆"
2,마전역,EL,3,2170-623,지상층↔지하1층,"(1F) 1번 출입구 근처,(B1) 1번 출입구 계단 옆"
2,완정역,EL,1,2045-091,지하1층↔지하3층,"(B1) 임대상가 측 통로 끝,(B2) 에스컬레이터 1, 2호기 옆,(B3) 마전역 방향 승강장 출입문 중앙부 앞"
2,완정역,EL,2,2045-092,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 에스컬레이터 3, 4호기 옆,(B3) 독정역 방향 승강장 출입문 중앙부 앞"
2,완정역,EL,3,2045-093,지상층↔지하1층,"(1F) 4번 출입구 근처,(B1) 4번 출입구 계단 옆"
2,독정역,EL,1,2154-532,지하1층↔지하3층,"(B1) 수유실 측 통로 끝,(B2) 완정역 방향 승강장 계단 옆,(B3) 완정역 방향 승강장 출입문 중앙부 앞"
2,독정역,EL,2,2154-533,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 검암역 방향 승강장 계단 옆,(B3) 검암역 방향 승강장 출입문 중앙부 앞"
2,독정역,EL,3,2170-865,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 옆"
2,독정역,EL,4,2170-864,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 옆"
2,검암역,EL,1,2170-606,지상1층↔지상2층,"(2F) 표 내는 곳 근처,(1F) 2번 출입구 근처"
2,검암역,EL,2,2170-604,지상2층↔지상4층,"(4F) 독정역 방향 승강장 중앙부 앞,(2F) 고객안내센터 옆"
2,검암역,EL,3,2170-605,지상1층↔지상2층↔지상4층,"(4F) 검바위역 방향 승강장 중앙부 앞,(2F) 표 내는 곳 근처,(1F) 환승통로 안쪽"
2,검바위역,EL,1,2170-607,지상1층↔지상2층,"(2F) 화장실 근처,(1F) 4번 출입구 근처"
2,검바위역,EL,2,2170-608,지상2층↔지상3층,"(1F) 검암역 방향 승강장 중앙부 앞,(2F) 에스컬레이터 3, 4호기 옆"
2,검바위역,EL,3,2170-609,지상2층↔지상3층,"(1F) 아시아드경기장역 방향 승강장 중앙부 앞,(2F) 에스컬레이터 5, 6호기 옆"
2,아시아드경기장역,EL,1,2170-557,지하1층↔지하2층,"(B1) 표 내는 곳 옆,(B3) 검바위역 방향 승강장 중앙부 앞"
2,아시아드경기장역,EL,2,2170-558,지하1층↔지하2층,"(B1) 고객안내센터 옆,(B3) 서구청역 방향 승강장 중앙부 앞"
2,아시아드경기장역,EL,3,2170-559,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 계단 옆"
2,아시아드경기장역,EL,4,2170-560,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 계단 옆"
2,서구청역,EL,1,2170-561,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 에스컬레이터 1, 2호기 옆,(B3) 아시아드경기장역 방향 승강장 중앙부 앞"
2,서구청역,EL,2,2170-562,지하1층↔지하3층,"(B1) 임대상가 측 통로 끝,(B2) 에스컬레이터 3, 4호기 옆,(B3) 가정역 방향 승강장 중앙부 앞"
2,서구청역,EL,3,2170-563,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 계단 옆"
2,서구청역,EL,4,2170-564,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 계단 옆"
2,가정(루원시티)역,EL,1,2159-558,지하1층↔지하3층,"(B3) 서구청역 방향 승강장 1-1 출입문 앞,(B1) 4번 출입구 대합실"
2,가정(루원시티)역,EL,2,2159-557,지하1층↔지하3층,"(B3) 서구청역 방향 승강장 2-3 출입문 앞,(B1) 3번 출입구 대합실"
2,가정(루원시티)역,EL,3,2159-560,지하1층↔지하3층,"(B3) 가정중앙시장역 방향 승강장 1-1 출입문 앞,(B1) 4번 출입구 대합실"
2,가정(루원시티)역,EL,4,2159-559,지하1층↔지하3층,"(B3) 가정중앙시장역 방향 승강장 2-3 출입문 앞,(B1) 4번 출입구 대합실"
2,가정(루원시티)역,EL,5,2154-506,지상층↔지하1층,"(B1) 4번 출입구 대합실,(1F) 4번 출입구 인근"
2,가정(루원시티)역,EL,6,2154-505,지상층↔지하1층,"(B1) 3번 출입구 대합실,(1F) 3번 출입구 인근"
2,가정중앙시장역,EL,1,2154-516,지하1층↔지하2층,"(B2) 가정역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향"
2,가정중앙시장역,EL,2,2154-517,지하1층↔지하2층,"(B2) 석남역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향"
2,가정중앙시장역,EL,3,2154-520,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,가정중앙시장역,EL,4,2154-518,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,가정중앙시장역,EL,5,2154-519,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,석남(거북시장)역,EL,1,2170-774,지하1층↔지하2층,"(B2) 가정중앙시장역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향"
2,석남(거북시장)역,EL,2,2170-775,지하1층↔지하2층,"(B2) 서부여성회관역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향"
2,석남(거북시장)역,EL,3,2170-776,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,석남(거북시장)역,EL,4,2170-777,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,석남(거북시장)역,EL,5,2170-779,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,석남(거북시장)역,EL,6,2170-778,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,서부여성회관역,EL,1,2170-780,지하1층↔지하2층,"(B2) 석남역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향"
2,서부여성회관역,EL,2,2170-281,지하1층↔지하2층,"(B2) 인천가좌역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향"
2,서부여성회관역,EL,3,2170-782,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,서부여성회관역,EL,4,2170-783,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,서부여성회관역,EL,5,2170-785,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,서부여성회관역,EL,6,2170-784,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,인천가좌역,EL,1,2170-851,지하1층↔지하3층,"(B3) 서부여성회관역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향"
2,인천가좌역,EL,2,2170-852,지하1층↔지하3층,"(B3) 가재울역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향"
2,인천가좌역,EL,3,2170-847,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,인천가좌역,EL,4,2170-848,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근"
2,인천가좌역,EL,5,2170-849,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,인천가좌역,EL,6,2170-850,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근"
2,가재울역,EL,1,2161-408,지하1층↔지하3층,"(B3) 인천가좌역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향"
2,가재울역,EL,2,2161-409,지하1층↔지하3층,"(B3) 주안국가산단역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향"
2,가재울역,EL,3,2161-410,지상층↔지하1층,"(B1) 대합실 1,2번 출입구 방향,(1F) 1번/2번 출입구 사이 엘리베이터"
2,주안국가산단역,EL,1,2170-600,지하1층↔지하3층,"(B3) 가재울역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향"
2,주안국가산단역,EL,2,2170-601,지하1층↔지하3층,"(B3) 주안역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향"
2,주안국가산단역,EL,3,2170-603,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 근처"
2,주안국가산단역,EL,4,2170-602,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 근처"
2,주안역,EL,1,2170-611,지하1층↔지하2층 ,"(B3) 주안국가산단역 방향 승강장 1-3 출입문 앞,(B2) 대합실 상선 방향"
2,주안역,EL,2,2170-610,지하1층↔지하3층 ,"(B3) 시민공원역 방향 승강장 1-3 출입문 앞,(B1) 대합실 코레일 방향"
2,주안역,EL,3,2170-792,지상층↔지하1층,"(B1) 대합실 6번 출입구 방향,(1F) 6번 출입구 근처"
2,주안역,EL,4,2170-791,지상층↔지하1층,"(B1) 대합실 5번 출입구 방향,(1F) 5번 출입구 근처"
2,주안역,EL,5,2170-613,환승층↔지하1층,"(B1) 대합실 코레일 상선 방향,(1F) 코레일 승강장 상선"
2,주안역,EL,6,2170-612,환승층↔지하1층,"(B1) 대합실 코레일 하선 방향,(1F) 코레일 승강장 하선"
2,시민공원역,EL,1,2154-529,지하1층↔지하3층,"(B3) 주안역 방향 승강장 1-1 출입문 앞,(B1) 에스컬레이터 1,2호기 앞"
2,시민공원역,EL,2,2154-530,지하1층↔지하3층,"(B3) 석바위시장역 방향 승강장 2-3 출입문 앞,(B1) 에스컬레이터 3,4호기 앞"
2,시민공원역,EL,3,2154-527,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처"
2,시민공원역,EL,4,2154-528,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 2번 출입구 근처"
2,시민공원역,EL,5,2161-496,지하상가↔지하1층,"(B1) 화장실 옆,(M1) 화장실 옆"
2,석바위시장역,EL,1,2170-772,지하1층↔지하3층,"(B3) 시민공원역 방향 승강장 1-1 출입문 앞,(B1) 에스컬레이터 1,2호기 앞"
2,석바위시장역,EL,2,2170-771,지하1층↔지하3층,"(B3) 인천시청역 방향 승강장 2-3 출입문 앞,(B1) 에스컬레이터 3,4호기 앞"
2,석바위시장역,EL,3,2170-769,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처"
2,석바위시장역,EL,4,2170-770,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 2번 출입구 근처"
